t;hh:mm;hora;minuto;G(t);T(t) [ºC];T(t) [K]
0,673611111;16:10;16;10;519,8297062;24,822470;297,972470
0,680555556;16:20;16;20;479,8215452;24,753101;297,903101
0,6875;16:30;16;30;439,3008705;24,663493;297,813493
0,694444444;16:40;16;40;397,9036997;24,537758;297,687758
0,701388889;16:50;16;50;360,4553863;24,412242;297,562242
0,708333333;17:00;17;0;323,249728;24,248749;297,398749
0,715277778;17:10;17;10;285,3868335;24,047715;297,197715
0,722222222;17:20;17;20;249,5788901;23,819967;296,969967
0,729166667;17:30;17;30;212,7252448;23,527911;296,677911
0,736111111;17:40;17;40;177,9287269;23,174973;296,324973
0,743055556;17:50;17;50;143,9907508;22,709684;295,859684
0,75;18:00;18;0;112,4733406;22,105767;295,255767
0,756944444;18:10;18;10;85,23394995;21,422960;294,572960
0,763888889;18:20;18;20;62,33677911;20,667900;293,817900
0,770833333;18:30;18;30;43,61772703;19,896085;293,046085
0,777777778;18:40;18;40;29,03643284;19,129473;292,279473
0,784722222;18:50;18;50;18,06199021;18,402556;291,552556
0,791666667;19:00;19;0;9,929853181;17,747743;290,897743
0,798611111;19:10;19;10;4,212071778;17,168080;290,318080
0,805555556;19:20;19;20;1,158781947;16,674551;289,824551
0,8125;19:30;19;30;0,156606852;16,247852;289,397852
0,819444444;19:40;19;40;0,001631321;15,886460;289,036460
0,826388889;19:50;19;50;0;15,567645;288,717645
0,833333333;20:00;20;0;0;15,245895;288,395895
0,840277778;20:10;20;10;0;14,930288;288,080288
0,847222222;20:20;20;20;0;14,621533;287,771533
0,854166667;20:30;20;30;0;14,316204;287,466204
0,861111111;20:40;20;40;0;13,989614;287,139614
0,868055556;20:50;20;50;0;13,684285;286,834285
0,875;21:00;21;0;0;13,362806;286,512806
0,881944444;21:10;21;10;0;13,059054;286,209054
0,888888889;21:20;21;20;0;12,788853;285,938853
0,895833333;21:30;21;30;0;12,484937;285,634937
0,902777778;21:40;21;40;0;12,219521;285,369521
0,909722222;21:50;21;50;0;11,990158;285,140158
0,916666667;22:00;22;0;0;11,738554;284,888554
0,923611111;22:10;22;10;0;11,453779;284,603779
0,930555556;22:20;22;20;0;11,181077;284,331077
0,9375;22:30;22;30;0;10,941272;284,091272
0,944444444;22:40;22;40;0;10,693257;283,843257
0,951388889;22:50;22;50;0;10,422023;283,572023
0,958333333;23:00;23;0;0;10,134149;283,284149
0,965277778;23:10;23;10;0;9,879935;283,029935
0,972222222;23:20;23;20;0;9,626917;282,776917
0,979166667;23:30;23;30;0;9,399782;282,549782
0,986111111;23:40;23;40;0;9,156444;282,306444
0,993055556;23:50;23;50;0;8,885481;282,035481
